"Pos.","Driver","Team","Grid","Stops","Best","Time","Pts.","driver type"
"1","Oscar PIASTRI","McLaren","1","1","1:33.330","28:40.541","25","AI"
"2","Sergio PÉREZ","Red Bull","2","1","1:32.923","+0.174","18","AI"
"3","Lando NORRIS","McLaren","3","1","1:33.780","+11.216","15","AI"
"4","George RUSSELL","Mercedes-AMG Petronas","4","1","1:34.106","+11.986","12","AI"
"5","Lewis HAMILTON","Mercedes-AMG Petronas","5","1","1:33.989","+12.392","10","AI"
"6","Fernando ALONSO","Aston Martin","6","1","1:33.256","+17.029","8","AI"
"7","Player","Aston Martin","9","1","1:33.544","+17.174","6","Player"
"8","Charles LECLERC","Scuderia Ferrari HP","7","1","1:34.164","+17.394","4","AI"
"9","Gojo","Scuderia Ferrari HP","8","1","1:33.577","+20.599","2","Player"
"10","Esteban OCON","Alpine","13","1","1:34.515","+22.281","1","AI"
"11","Player","Red Bull","10","1","1:32.813","+24.047","0","Player"
"12","Alexander ALBON","Williams","15","1","1:35.025","+27.942","0","AI"
"13","Valtteri BOTTAS","KICK Sauber","14","1","1:35.370","+31.079","0","AI"
"14","Nico HULKENBERG","Haas","17","1","1:35.117","+33.488","0","AI"
"15","Logan SARGEANT","Williams","20","1","1:35.155","+33.542","0","AI"
"16","ZHOU Guanyu","KICK Sauber","16","1","1:35.297","+33.739","0","AI"
"17","Yuki TSUNODA","Visa Cash App RB","12","1","1:35.499","+34.048","0","AI"
"18","Daniel RICCIARDO","Visa Cash App RB","19","1","1:35.101","+35.165","0","AI"
"19","Pierre GASLY","Alpine","11","1","1:34.809","+40.077","0","AI"
"20","Kevin MAGNUSSEN","Haas","18","0","1:35.287","DNF","0","AI"

"Time","Lap","Driver","Team","Incident","Penalty"
"14.828","1","Alexander ALBON","Williams","Collision With ZHOU","Warning"
"15.133","1","Yuki TSUNODA","Visa Cash App RB","Collision With ZHOU","Warning"
"23.098","1","Player","Aston Martin","Collision With ALONSO","Warning"
"33.780","1","Player","Red Bull","Collision With ALONSO","Warning"
"34.982","1","Player","Red Bull","Corner Cutting","Warning"
"1:48.884","2","George RUSSELL","Mercedes-AMG Petronas","Collision With Player","Warning"
"2:03.858","2","Player","Red Bull","Collision With ZHOU","Warning"
"2:52.958","2","Player","Red Bull","Corner Cutting","Warning"
"3:48.602","3","Player","Aston Martin","Exceeded Track Limits","Warning"
"5:05.294","4","Player","Red Bull","Collision With GASLY","Warning"
"6:57.630","5","Player","Aston Martin","Corner Cutting","Warning"
"7:47.109","5","Kevin MAGNUSSEN","Haas","Mechanical Failure","DNF"
"8:28.481","6","Gojo","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"8:28.388","6","Player","Red Bull","Corner Cutting","Warning"
"8:28.397","6","Player","Red Bull","Multiple Warnings","3 Second(s)"
"8:32.648","6","Player","Red Bull","Corner Cutting","Warning"
"10:05.491","7","Gojo","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"10:07.100","7","Player","Red Bull","Corner Cutting","Warning"
"10:29.712","7","Player","Aston Martin","Corner Cutting","Warning"
"10:29.721","7","Player","Aston Martin","Multiple Warnings","3 Second(s)"
"11:05.821","7","Fernando ALONSO","Aston Martin","Collision With Player","Warning"
"12:39.755","8","Charles LECLERC","Scuderia Ferrari HP","Collision With Gojo","Warning"
"12:41.792","8","Player","Aston Martin","Collision With RUSSELL","Warning"
"12:41.792","8","George RUSSELL","Mercedes-AMG Petronas","Collision With Player","Warning"
"13:36.613","9","Player","Aston Martin","Exceeded Track Limits","Warning"
"15:12.574","10","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"15:12.582","10","Gojo","Scuderia Ferrari HP","Multiple Warnings","3 Second(s)"
"16:46.128","11","Player","Aston Martin","Exceeded Track Limits","Warning"
"18:13.360","12","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"21:07.229","14","Gojo","Scuderia Ferrari HP","Collision With Player","Warning"
"21:10.199","14","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"22:32.683","15","Player","Aston Martin","Collision With NORRIS","Warning"
"23:02.208","15","Player","Aston Martin","Corner Cutting","Warning"
"23:02.221","15","Player","Aston Martin","Multiple Warnings","3 Second(s)"
"23:06.455","15","Gojo","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"23:06.463","15","Gojo","Scuderia Ferrari HP","Multiple Warnings","3 Second(s)"
"24:38.463","16","Gojo","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"24:40.383","16","Gojo","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"24:41.335","16","Player","Red Bull","Corner Cutting","Warning"
"24:41.343","16","Player","Red Bull","Multiple Warnings","3 Second(s)"
"25:45.881","17","Player","Aston Martin","Collision With NORRIS","Warning"
"26:08.316","17","Player","Aston Martin","Exceeded Track Limits","Warning"
"27:50.289","18","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"27:50.298","18","Gojo","Scuderia Ferrari HP","Multiple Warnings","3 Second(s)"
"27:50.298","18","Gojo","Scuderia Ferrari HP","Illegal Time Gain","Warning"
"27:51.912","18","Player","Red Bull","Exceeded Track Limits","Warning"
"28:11.098","18","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
