"Pos.","Driver","Team","Grid","Stops","Best","Time","Pts.","driver type"
"1","Player","Aston Martin","1","1","1:19.884","27:46.034","26","Player"
"2","Oscar PIASTRI","McLaren","6","1","1:21.270","+0.095","18","AI"
"3","Gojo","Scuderia Ferrari HP","3","1","1:20.871","+3.389","15","Player"
"4","Sergio PÉREZ","Red Bull","4","1","1:21.126","+6.123","12","AI"
"5","George RUSSELL","Mercedes-AMG Petronas","7","1","1:21.369","+6.561","10","AI"
"6","Lewis HAMILTON","Mercedes-AMG Petronas","10","1","1:21.303","+7.015","8","AI"
"7","Charles LECLERC","Scuderia Ferrari HP","9","1","1:21.371","+10.398","6","AI"
"8","Player","McLaren","5","1","1:21.041","+13.262","4","Player"
"9","Esteban OCON","Alpine","12","1","1:21.993","+20.778","2","AI"
"10","Daniel RICCIARDO","Visa Cash App RB","14","1","1:22.469","+22.698","1","AI"
"11","Pierre GASLY","Alpine","13","1","1:22.013","+22.769","0","AI"
"12","Yuki TSUNODA","Visa Cash App RB","16","1","1:22.528","+26.491","0","AI"
"13","Valtteri BOTTAS","KICK Sauber","19","1","1:22.426","+27.241","0","AI"
"14","Kevin MAGNUSSEN","Haas","17","1","1:22.396","+27.484","0","AI"
"15","Max VERSTAPPEN","Red Bull","2","1","1:22.179","+27.701","0","AI"
"16","Logan SARGEANT","Williams","18","1","1:22.552","+28.584","0","AI"
"17","ZHOU Guanyu","KICK Sauber","20","1","1:22.638","+30.107","0","AI"
"18","Alexander ALBON","Williams","11","1","1:21.810","+31.210","0","AI"
"19","Fernando ALONSO","Aston Martin","8","1","1:21.553","DNF","0","AI"
"20","Nico HULKENBERG","Haas","15","0","1:22.493","DNF","0","AI"

"Time","Lap","Driver","Team","Incident","Penalty"
"9.942","1","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"13.826","1","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"14.240","1","Gojo","Scuderia Ferrari HP","Collision With VERSTAPPEN","Warning"
"28.268","1","Kevin MAGNUSSEN","Haas","Collision With SARGEANT","Warning"
"2:15.345","2","Player","McLaren","Exceeded Track Limits","Warning"
"2:53.519","3","Player","Aston Martin","Corner Cutting","Warning"
"4:06.382","3","Player","Aston Martin","Collision With Gojo","Warning"
"5:42.550","5","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"5:42.564","5","Gojo","Scuderia Ferrari HP","Multiple Warnings","3 Second(s)"
"8:47.440","7","Gojo","Scuderia Ferrari HP","Collision With ALONSO","Warning"
"8:47.529","7","Fernando ALONSO","Aston Martin","Collision With Gojo","Warning"
"12:24.119","9","Nico HULKENBERG","Haas","Mechanical Failure","DNF"
"14:15.320","11","Oscar PIASTRI","McLaren","Collision With Player","Warning"
"14:15.332","11","Oscar PIASTRI","McLaren","Collision With Player","Warning"
"14:15.287","11","Player","McLaren","Collision With PIASTRI","Warning"
"14:15.599","11","Player","Aston Martin","Collision With Player","Warning"
"14:37.048","11","Gojo","Scuderia Ferrari HP","Collision With Player","Warning"
"17:15.197","13","Player","McLaren","Corner Cutting","Warning"
"18:17.632","14","Player","Aston Martin","Corner Cutting","Warning"
"19:16.014","14","Fernando ALONSO","Aston Martin","Mechanical Failure","DNF"
"19:50.461","15","Player","McLaren","Collision With LECLERC","Warning"
"20:25.687","15","Lewis HAMILTON","Mercedes-AMG Petronas","Collision With Player","Warning"
"20:26.176","15","Lewis HAMILTON","Mercedes-AMG Petronas","Collision With Player","Warning"
"20:42.394","15","Valtteri BOTTAS","KICK Sauber","Collision With TSUNODA","Warning"
"24:08.535","18","Player","McLaren","Corner Cutting","Warning"
"24:08.555","18","Player","McLaren","Multiple Warnings","3 Second(s)"
"24:30.603","18","Gojo","Scuderia Ferrari HP","Corner Cutting","Warning"
"24:51.710","18","Charles LECLERC","Scuderia Ferrari HP","Collision With PÉREZ","Warning"
