"Pos.","Driver","Team","Grid","Stops","Best","Time","Pts.","driver type"
"1","Player One","Scuderia Ferrari HP","10","1","1:30.685","21:52.630","25","Player"
"2","Player","Aston Martin","1","1","1:30.997","+0.535","18","Player"
"3","Player","McLaren","2","1","1:30.664","+3.833","16","Player"
"4","Max VERSTAPPEN","Red Bull","3","1","1:31.150","+4.815","12","AI"
"5","Fernando ALONSO","Aston Martin","5","1","1:31.521","+5.184","10","AI"
"6","Lewis HAMILTON","Mercedes-AMG Petronas","8","1","1:31.315","+5.644","8","AI"
"7","Oscar PIASTRI","McLaren","9","1","1:31.650","+6.170","6","AI"
"8","Charles LECLERC","Scuderia Ferrari HP","7","1","1:31.561","+10.133","4","AI"
"9","George RUSSELL","Mercedes-AMG Petronas","6","1","1:31.258","+10.451","2","AI"
"10","Sergio PÉREZ","Red Bull","4","1","1:31.049","+10.879","1","AI"
"11","Yuki TSUNODA","Visa Cash App RB","11","1","1:31.923","+16.544","0","AI"
"12","Kevin MAGNUSSEN","Haas","13","1","1:32.029","+16.848","0","AI"
"13","Pierre GASLY","Alpine","12","1","1:31.998","+17.385","0","AI"
"14","Esteban OCON","Alpine","14","1","1:32.282","+17.853","0","AI"
"15","Daniel RICCIARDO","Visa Cash App RB","17","1","1:32.209","+18.827","0","AI"
"16","Nico HULKENBERG","Haas","16","1","1:32.324","+19.665","0","AI"
"17","Valtteri BOTTAS","KICK Sauber","19","1","1:32.496","+22.754","0","AI"
"18","Alexander ALBON","Williams","15","1","1:32.329","+23.442","0","AI"
"19","Logan SARGEANT","Williams","18","1","1:32.961","+27.542","0","AI"
"20","ZHOU Guanyu","KICK Sauber","20","1","1:33.084","+27.984","0","AI"

"Time","Lap","Driver","Team","Incident","Penalty"
"11.075","1","Player One","Scuderia Ferrari HP","Collision With PIASTRI","Warning"
"11.086","1","Oscar PIASTRI","McLaren","Collision With Player One","Warning"
"57.091","1","Logan SARGEANT","Williams","Collision With BOTTAS","Warning"
"2:33.635","2","Player","Aston Martin","Exceeded Track Limits","Warning"
"4:05.508","3","Player","McLaren","Exceeded Track Limits","Warning"
"5:27.790","4","Player","Aston Martin","Exceeded Track Limits","Warning"
"8:02.778","6","Player","McLaren","Corner Cutting","Warning"
"11:22.333","8","Fernando ALONSO","Aston Martin","Collision With VERSTAPPEN","Warning"
"14:01.120","9","Player","McLaren","Collision With Player","Warning"
"14:01.143","9","Player","Aston Martin","Collision With Player","Warning"
"15:06.070","10","Player","McLaren","Exceeded Track Limits","Warning"
"15:06.087","10","Player","McLaren","Multiple Warnings","3 Second(s)"
"19:10.333","13","Player","McLaren","Corner Cutting","Warning"
